country,level,city,speedKMH,length,turnType,globalid,type,uuid,endNode,speed,blockingAlertUuid,roadType,delay,street,objectid,pubMillis
EZ,3,Brno,17,755,NONE,{BA443C7E-19C1-9D06-8978-807B69FB1336},NONE,22095118,,5,,7,107,Olomoucká,566820,2023/04/25 14:32:56.461+00
EZ,3,Brno,9,311,NONE,{0CD9857D-3449-3789-C029-F7D060856A9D},NONE,37556048,Jezuitská,2,,1,99,Rooseveltova,581949,2023/04/28 07:49:58.518+00
EZ,3,Brno,13,536,NONE,{A457401E-D8C0-66DC-4957-362011CD4C13},NONE,46504218,Křenová,4,,1,84,Vlhká,589422,2022/08/19 16:44:59.534+00
EZ,3,Brno,10,338,NONE,{366A1CCD-6092-B814-C6A4-213C42EAD704},NONE,53382318,Konečného náměstí,3,,2,84,Veveří,595925,2023/01/08 15:28:52.728+00
EZ,2,Brno,12,474,NONE,{C54BA7F5-E8EC-368B-5184-4A86E04FBB0A},NONE,643825154,,3,,1,75,Nádražní,615788,2022/09/07 12:11:33.138+00
EZ,3,Brno,9,376,NONE,{BE8ED86A-A44C-DA47-A48F-542719273F04},NONE,75652078,Veveří,2,,1,103,Sokolská,618128,2023/01/11 09:26:09.987+00
EZ,5,Brno,0,175,NONE,{828012EC-C079-277D-1121-EA03A1ABE037},NONE,664817074,,0,5cc9c993-223a-4efc-8f4a-1dadcf2a8fbc,4,-1,» Svitavy / Kr. Pole / Bystrc,632487,2023/05/23 19:04:19.544+00
EZ,2,Brno,20,906,NONE,{98BEF629-BBB6-E9B1-E863-8AA5000197F3},NONE,1662859596,» Soběšice / Lesná,5,,2,81,Merhautova,635538,2023/01/24 15:58:35.296+00
EZ,1,Brno,2,157,NONE,{F7F9B34F-76AC-27FF-3E84-2BA690192C82},NONE,1615904906,,1,,1,95,Raisova,636284,2022/12/14 15:11:11.664+00
EZ,3,,40,1762,NONE,{4424A9A0-394C-9673-B6A6-40DC626A40DF},NONE,562716268,Popůvky,11,,3,106,D1,644470,2022/11/16 06:50:34.511+00
EZ,2,Brno,23,981,NONE,{6B8E8BD9-05C3-07E5-9BDA-E134578AE33A},NONE,196730038,,6,,2,68,Křenová,646051,2023/04/27 07:21:39.296+00
EZ,3,Brno,13,526,NONE,{07B010CD-5F27-66E3-9F20-83D69026BFE3},NONE,1124185338,Opuštěná,4,,6,87,Zvonařka,648018,2022/11/08 15:41:03.897+00
EZ,3,Brno,14,576,NONE,{FD332AF9-5871-4C88-DB40-100A2F596222},NONE,1286669878,Poříčí,4,,2,80,Vídeňská,650693,2023/03/28 11:00:29.128+00
EZ,3,Brno,4,218,NONE,{C04A92F8-11E6-65A2-50BC-E6BC9F9A8ADD},NONE,1143169288,Dusíkova,1,,1,146,Majdalenky,663457,2022/12/26 15:26:55.619+00
EZ,3,Brno,13,431,NONE,{AC614658-291A-AB46-1979-7AF5B5CA9B16},NONE,180504830,Šilingrovo náměstí,4,,2,83,Husova,673045,2022/11/30 13:31:11.280+00
EZ,2,,35,1677,NONE,{A53835BD-BDC7-293D-5842-7AF5CFBC925E},NONE,1637023508,Veverské Knínice,10,,7,61,386,673879,2022/12/14 17:29:10.534+00
EZ,3,Brno,9,351,NONE,{1E5D3B43-9084-4863-2278-81A299D2A7FC},NONE,1707157428,,2,,2,82,Úzká,674023,2023/04/01 12:01:25.818+00
EZ,2,Brno,14,734,NONE,{59DBD49D-EC6F-6BE5-D7D1-1819ECAEA980},NONE,152030530,,4,,1,79,Nádražní,686353,2023/02/02 12:46:02.896+00
EZ,3,Brno,10,374,NONE,{95D06C2E-F4BC-F340-79F4-D7DAE4FEEB0F},NONE,142602890,,3,,1,70,Nádražní,690016,2022/10/03 09:21:10.829+00
EZ,2,Brno,19,772,NONE,{30046002-1A53-9186-E68B-B747E158DDF4},NONE,226579638,Tábor,5,,2,63,Kounicova,691334,2022/11/02 12:56:33.367+00
